Row Labels,2005,Max of Production
Ricebean (nagadal),4026,450
Nagaland,4026,450
Rubber,18012,143244
Kerala,18012,143244
Safflower,914418,27400
Andhra Pradesh,28082,813
Bihar,76103,1241
Chhattisgarh,86316,126
Karnataka,170520,18416
Madhya Pradesh,132235,121
Maharashtra,242699,27400
Odisha,50035,860
Telangana ,64208,4143
West Bengal,64220,907
Samai,58018,33456
Andhra Pradesh,26003,11800
Tamil Nadu,28013,33456
Telangana ,4002,149
Sannhamp,1411828,9350
Andhra Pradesh,4026,
Bihar,184486,4733.33
Chhattisgarh,176670,788
Dadra and Nagar Haveli,18049,112
Haryana,58114,600
Himachal Pradesh,10019,27
Jammu and Kashmir ,16038,95
Karnataka,44135,106
Madhya Pradesh,288759,1539
Odisha,21998,9350
Rajasthan,166316,152
Tamil Nadu,19992,3445
Uttar Pradesh,323064,772
West Bengal,80162,2917
Sapota,18118,24901
Andhra Pradesh,18118,24901
Sesamum,5421222,65298
Andhra Pradesh,258714,8000
Arunachal Pradesh,7990,313
Assam,304907,2561
Bihar,312792,566
Chhattisgarh,164661,1524
Dadra and Nagar Haveli,8026,39
Gujarat,228585,55900
Haryana,146361,600
Himachal Pradesh,36094,1568
Jammu and Kashmir ,28066,1566
Karnataka,270802,11252
Kerala,106284,170
Madhya Pradesh,459216,20600
Maharashtra,391002,9800
Manipur,16017,890
Meghalaya,70214,939
Mizoram,22024,2400
Nagaland,82272,1110
